Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cholesterol Biosynthetic Process (GO:0006695)	11/30	3.419164613115697E-11	4.53723144160453E-8	0	0	24.943301963518067	601.1096259358294	SQLE;NSDHL;MVK;HMGCS1;CYP51A1;SC5D;DHCR24;HSD17B7;LSS;TM7SF2;FDFT1
Secondary Alcohol Biosynthetic Process (GO:1902653)	11/30	3.419164613115697E-11	4.53723144160453E-8	0	0	24.943301963518067	601.1096259358294	SQLE;NSDHL;MVK;HMGCS1;CYP51A1;SC5D;DHCR24;HSD17B7;LSS;TM7SF2;FDFT1
Sterol Biosynthetic Process (GO:0016126)	11/32	7.744520230874984E-11	6.851318897580736E-8	0	0	22.565436770734784	525.3560991129867	SQLE;NSDHL;MVK;HMGCS1;CYP51A1;SC5D;DHCR24;HSD17B7;LSS;TM7SF2;FDFT1
Cholesterol Metabolic Process (GO:0008203)	12/76	1.7058190948066973E-7	1.1318109694042437E-4	0	0	8.077433628318584	125.8791315391698	SQLE;NSDHL;MVK;HMGCS1;CYP51A1;SC5D;DHCR24;HSD17B7;APOB;LSS;TM7SF2;FDFT1
Positive Regulation of Cell Migration (GO:0030335)	22/349	2.442816995517722E-5	0.011671787577658431	0	0	2.9238656648262693	31.050791354098656	EPHA4;NRP1;TCAF2;DOCK5;NRP2;GRN;TGFB1;CSF1;HGF;FN1;ADAM10;CX3CL1;MTOR;APC;PLAU;MGAT5;TRIP6;PLCG2;CDH13;PTK2B;CCN1;EPHA2
Regulation of Cell-Matrix Adhesion (GO:0001952)	9/68	2.6386859632988163E-5	0.011671787577658431	0	0	6.529819333209164	68.84156331051022	MACF1;CSF1;PLAU;PTPRA;CDH13;PTK2B;NF2;CX3CL1;GPM6B
Phosphatidylinositol Metabolic Process (GO:0046488)	9/72	4.1992726166638655E-5	0.013931086905782373	0	0	6.113971742543171	61.616693680174066	FIG4;MTMR2;PIKFYVE;PLCL1;PITPNM2;PLCG2;PLEKHA3;PIK3C2A;PLCB1
Positive Regulation of Cell-Substrate Adhesion (GO:0010811)	9/72	4.1992726166638655E-5	0.013931086905782373	0	0	6.113971742543171	61.616693680174066	DOCK5;NRP1;CCDC80;CSF1;FGG;FN1;CDH13;PTK2B;CX3CL1
Neuron Remodeling (GO:0016322)	4/10	5.374514764614902E-5	0.015510203384842557	0	0	28.304347826086957	278.26732254651847	FARP2;APP;CX3CL1;RND1
Triglyceride Biosynthetic Process (GO:0019432)	5/19	5.844085676278281E-5	0.015510203384842557	0	0	15.189853719265484	148.06302789777374	GK;GPAM;TMEM68;LPIN1;PCK2
Axon Guidance (GO:0007411)	13/158	8.346634586667923E-5	0.018899360600282432	0	0	3.8547748298799602	36.200448893386174	EPHA4;NOTCH3;NRP1;NRP2;UNC5B;MYCBP2;PTPRM;UNC5C;EFNB2;EFNB1;KIF5C;SLIT2;NEO1
Lipid Biosynthetic Process (GO:0008610)	12/137	8.54530245679688E-5	0.018899360600282432	0	0	4.1226902654867255	38.619481443110104	BCKDK;PRKAA1;ACSS2;MVK;SPHK2;CYP51A1;DEGS1;MLYCD;LSS;FADS1;SELENOI;FDFT1
TRNA Wobble Position Uridine Thiolation (GO:0002143)	3/5	1.1982798633133206E-4	0.024463344286411944	0	0	63.55965292841648	573.9089172959274	MPST;TRMU;CTU1
Protein-containing Complex Assembly (GO:0065003)	20/339	1.4009682916344803E-4	0.02575935326337752	0	0	2.7135756446101276	24.078036285319893	FARP2;UVRAG;GPX4;MTX2;STXBP2;FGG;FN1;ADAM10;PIK3C2A;CX3CL1;DNM2;P2RX7;AFDN;PSMB5;APC;MDM2;PTK2B;DMD;FMOD;TP53
Phosphatidylinositol Biosynthetic Process (GO:0006661)	7/50	1.4577578535434195E-4	0.02575935326337752	0	0	6.943717876952827	61.33692103008376	FIG4;MTMR2;PIKFYVE;PITPNM2;PLCG2;PLEKHA3;PIK3C2A
Receptor Metabolic Process (GO:0043112)	5/23	1.5664359568496973E-4	0.02575935326337752	0	0	11.811909949164852	103.49049107275009	UVRAG;EHD3;TGFB1;LMTK2;PLEKHA3
Axonogenesis (GO:0007409)	15/216	1.664726553545424E-4	0.02575935326337752	0	0	3.2136090150583385	27.960582059489298	APP;EPHA4;NRP1;NOTCH3;NRP2;RAB3A;MYCBP2;UNC5C;EFNB2;EFNB1;ACTBL2;KIF5C;FAT4;SLIT2;NEO1
Regulation of Cell Migration (GO:0030334)	25/484	1.7840887293874146E-4	0.02575935326337752	0	0	2.3668617029195884	20.429407269020665	MACF1;GRN;CSF1;STC1;CX3CL1;AMOT;PLAU;MGAT5;EMILIN2;PTK2B;SLIT2;CCN1;ARSB;EPHA4;TCAF2;TGFB1;HGF;ADAM10;AFDN;APC;DLC1;TRIP6;CDH13;NF2;EPHA2
Positive Regulation of Glycolytic Process (GO:0045821)	5/24	1.9411720620480423E-4	0.02575935326337752	0	0	11.189657149409472	95.6385415222518	P2RX7;APP;PFKFB4;PRKAA1;MTOR
Positive Regulation of Purine Nucleotide Catabolic Process (GO:0033123)	5/24	1.9411720620480423E-4	0.02575935326337752	0	0	11.189657149409472	95.6385415222518	P2RX7;APP;PFKFB4;PRKAA1;MTOR
Negative Regulation of Cell Adhesion (GO:0007162)	8/71	2.3373176075242955E-4	0.027456653960064924	0	0	5.422723475355054	45.34121529932907	EPHA4;ADAM10;CDH13;NF2;TGFBI;CX3CL1;RND1;EPHA2
Regulation of Mitochondrial Fusion (GO:0010635)	4/14	2.3794387380613914E-4	0.027456653960064924	0	0	16.979130434782608	141.6649628085891	TFRC;ADCK1;HUWE1;YME1L1
Motor Neuron Axon Guidance (GO:0008045)	4/14	2.3794387380613914E-4	0.027456653960064924	0	0	16.979130434782608	141.6649628085891	EPHA4;NRP1;NRP2;SLIT2
Phosphatidylethanolamine Metabolic Process (GO:0046337)	5/26	2.8915426707502466E-4	0.03197564270071314	0	0	10.122938064114535	82.48726915054468	CHKB;PLA2G6;LPIN1;SELENOI;PISD
Positive Regulation of Cell Motility (GO:2000147)	16/254	3.1012751890567976E-4	0.03292313740702696	0	0	2.895858343337335	23.39426979675054	EPHA4;TCAF2;GRN;TGFB1;CSF1;HGF;ADAM10;CX3CL1;APC;PLAU;MGAT5;TRIP6;CDH13;PTK2B;CCN1;EPHA2
Iron-sulfur Cluster Assembly (GO:0016226)	5/27	3.4815970012004756E-4	0.03422280904142986	0	0	9.662309368191721	76.93951314796027	NFS1;BOLA1;HSCB;ISCU;NUBP2
Metallo-sulfur Cluster Assembly (GO:0031163)	5/27	3.4815970012004756E-4	0.03422280904142986	0	0	9.662309368191721	76.93951314796027	NFS1;BOLA1;HSCB;ISCU;NUBP2
Cell-matrix Adhesion (GO:0007160)	10/116	3.7346233621458137E-4	0.03458275600188417	0	0	4.037486493225833	31.866642992010956	TIMM10B;MKLN1;BCAM;DLC1;TRIP6;FGG;ITGA1;FN1;NID2;CD44
Neuron Projection Guidance (GO:0097485)	11/138	3.808327113095389E-4	0.03458275600188417	0	0	3.711025360240566	29.2174606405126	EFNB2;EPHA4;NOTCH3;EFNB1;NRP1;NRP2;KIF5C;MYCBP2;UNC5C;SLIT2;NEO1
Retinal Ganglion Cell Axon Guidance (GO:0031290)	3/7	4.050648065763604E-4	0.03458275600188417	0	0	31.7765726681128	248.22153715234452	NRP1;PTPRM;SLIT2
Sprouting Angiogenesis (GO:0002040)	7/59	4.1622315501103647E-4	0.03458275600188417	0	0	5.739269483251978	44.676132370881845	EFNB2;NRP1;TGFB1;EHD4;CDH13;PTK2B;SLIT2
Regulation of Microglial Cell Activation (GO:1903978)	4/16	4.169736970837579E-4	0.03458275600188417	0	0	14.147826086956522	110.10527846699924	GRN;IL6;LDLR;CX3CL1
Positive Regulation of Tumor Necrosis Factor Production (GO:0032760)	9/98	4.5695285774744463E-4	0.03675008740793085	0	0	4.322089146808248	33.24088650082412	APP;IL6;TGFB1;FRMD8;SPHK2;PLCG2;ADAM10;CD14;TLR2
Regulation of Cellular Response to Growth Factor Stimulus (GO:0090287)	5/29	4.929754712217401E-4	0.03848108531242642	0	0	8.856209150326798	67.44048557984028	NRP1;TWSG1;FST;DMD;SLIT2
Regulation of Amyloid Fibril Formation (GO:1905906)	4/17	5.353304735696878E-4	0.03968296156419004	0	0	13.05886287625418	98.36753387355684	APP;HSPG2;CRYAB;LDLR
Lipid Metabolic Process (GO:0006629)	16/268	5.592931813587515E-4	0.03968296156419004	0	0	2.7329931972789114	20.46693988671046	GGT5;LIPT1;PRKAA1;ACSS2;GPX4;HMGCS1;DGKA;TEX2;HSPG2;BCKDK;FADS2;PCCA;THEM4;TPP1;LDLR;FADS1
Positive Regulation of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)	9/102	6.131702413405771E-4	0.03968296156419004	0	0	4.135342077277561	30.588579241642268	APP;IL6;TGFB1;FRMD8;SPHK2;PLCG2;ADAM10;CD14;TLR2
Regulation of Tumor Necrosis Factor Production (GO:0032680)	11/146	6.141820469998261E-4	0.03968296156419004	0	0	3.489673779740005	25.806902468845045	APP;IL6;ARG2;TGFB1;FRMD8;SPHK2;PLCG2;ADAM10;CD14;CX3CL1;TLR2
Axon Extension Involved in Axon Guidance (GO:0048846)	3/8	6.369510353786983E-4	0.03968296156419004	0	0	25.419956616052062	187.06082853214252	NRP1;NRP2;SLIT2
TRNA Aminoacylation for Mitochondrial Protein Translation (GO:0070127)	3/8	6.369510353786983E-4	0.03968296156419004	0	0	25.419956616052062	187.06082853214252	DARS2;TARS2;YARS2
Negative Regulation of Microglial Cell Activation (GO:1903979)	3/8	6.369510353786983E-4	0.03968296156419004	0	0	25.419956616052062	187.06082853214252	GRN;LDLR;CX3CL1
Negative Regulation of Mitochondrial Fusion (GO:0010637)	3/8	6.369510353786983E-4	0.03968296156419004	0	0	25.419956616052062	187.06082853214252	TFRC;ADCK1;HUWE1
Negative Regulation of Programmed Cell Death (GO:0043069)	21/410	6.429417284326193E-4	0.03968296156419004	0	0	2.3332791727355553	17.148333694539403	PRKAA1;TFRC;GPX4;HGF;MTOR;CX3CL1;IL6;HMGN5;CCND2;DPP9;ERBB2;MDM2;TAX1BP1;YME1L1;SC5D;PTK2B;ERCC5;ZNF830;CRYAB;TP53;CD44
Acetyl-CoA Metabolic Process (GO:0006084)	4/18	6.757412717640355E-4	0.03985371856137223	0	0	12.125465838509317	88.51226648877339	ACSS2;MVK;HMGCS1;MLYCD
Acyl-CoA Biosynthetic Process (GO:0071616)	4/18	6.757412717640355E-4	0.03985371856137223	0	0	12.125465838509317	88.51226648877339	MCEE;ACSS2;PCCA;MLYCD
Actin Filament Organization (GO:0007015)	12/173	7.395115730345177E-4	0.04266660249638283	0	0	3.194910130269884	23.03377048279914	MYO1D;CNN1;MYO1E;BIN3;ELMO1;GAS2;LCP1;MYO19;TLE6;MYO1F;RND1;DNM2
Regulation of Epithelial to Mesenchymal Transition (GO:0010717)	8/86	8.619699639492443E-4	0.04753270523600128	0	0	4.376518218623482	30.881982320841118	PPP2CA;EPHA4;IL6;TGFB1;TGFB3;TGFB1I1;MTOR;VASN
Positive Regulation of ATP Metabolic Process (GO:1903580)	5/33	9.129655011340721E-4	0.04753270523600128	0	0	7.58948023653906	53.117348877463826	P2RX7;APP;PFKFB4;PRKAA1;MTOR
Integrin-mediated Signaling Pathway (GO:0007229)	8/87	9.303914421730443E-4	0.04753270523600128	0	0	4.320897179658005	30.15945249770088	NRP1;DST;PTPRA;ITGA1;FN1;ADAM10;PTK2B;CCN1
Regulation of Skeletal Muscle Contraction (GO:0014819)	3/9	9.39003913174662E-4	0.04753270523600128	0	0	21.182212581344903	147.6546567236902	DMPK;DMD;KCNJ2
Short-chain Fatty Acid Metabolic Process (GO:0046459)	3/9	9.39003913174662E-4	0.04753270523600128	0	0	21.182212581344903	147.6546567236902	MCEE;PCCA;CRAT
Phosphatidylethanolamine Biosynthetic Process (GO:0006646)	3/9	9.39003913174662E-4	0.04753270523600128	0	0	21.182212581344903	147.6546567236902	CHKB;SELENOI;PISD
Protein Catabolic Process (GO:0030163)	12/178	9.492213178251952E-4	0.04753270523600128	0	0	3.09787823861819	21.560825401906623	ATE1;DPP7;PSMB5;PITRM1;MAN2B2;MDM2;YME1L1;AFG1L;MAN2B1;TPP1;CTSS;PISD
Regulation of Endothelial Cell Migration (GO:0010594)	8/88	0.001003095908981224	0.04930030634141052	0	0	4.266666666666667	29.459900383824905	NRP1;NRP2;GRN;PTPRM;STC1;PTK2B;SLIT2;EPHA2
Neuron Maturation (GO:0042551)	4/20	0.001031335069009076	0.04976660496636524	0	0	10.608695652173912	72.95495114539023	FARP2;APP;CX3CL1;RND1
[2Fe-2S] Cluster Assembly (GO:0044571)	3/10	0.001318402773638115	0.06138668353044837	0	0	18.155252556554075	120.39354891303081	NFS1;HSCB;ISCU
Mitochondrial Protein Catabolic Process (GO:0035694)	3/10	0.001318402773638115	0.06138668353044837	0	0	18.155252556554075	120.39354891303081	AFG1L;YME1L1;PISD
Negative Regulation of Apoptotic Process (GO:0043066)	23/497	0.0014213684993481526	0.0650398620218965	0	0	2.0973908550762075	13.750777886283766	GRN;PRKAA1;TFRC;UNC5B;TGFB3;HGF;FGG;HSPG2;MTOR;CX3CL1;IL6;HMGN5;CCND2;ERBB2;MDM2;TAX1BP1;YME1L1;PTK2B;ERCC5;ZNF830;CRYAB;TP53;CD44
Cell Migration Involved in Sprouting Angiogenesis (GO:0002042)	4/22	0.001501041998605011	0.06530763056225737	0	0	9.428985507246377	61.30345206589266	EFNB2;NRP1;EHD4;SLIT2
Response to Gamma Radiation (GO:0010332)	4/22	0.001501041998605011	0.06530763056225737	0	0	9.428985507246377	61.30345206589266	PRKAA1;MDM2;CRYAB;TP53
Sulfur Compound Catabolic Process (GO:0044273)	4/22	0.001501041998605011	0.06530763056225737	0	0	9.428985507246377	61.30345206589266	GGT5;MPST;MLYCD;OPLAH
Macromolecule Catabolic Process (GO:0009057)	7/74	0.0016309179297903005	0.0698138094461848	0	0	4.450929161631667	28.568788554500024	UVRAG;DPP7;TGFB1;PITRM1;MDM2;TPP1;CTSS
Hyaluronan Catabolic Process (GO:0030214)	3/11	0.0017817152046100192	0.07067065294544356	0	0	15.885032537960955	100.55509590007124	TGFB1;GUSB;CD44
Transferrin Transport (GO:0033572)	3/11	0.0017817152046100192	0.07067065294544356	0	0	15.885032537960955	100.55509590007124	TFRC;LMTK2;DNM2
Negative Regulation of Interleukin-1-Mediated Signaling Pathway (GO:2000660)	3/11	0.0017817152046100192	0.07067065294544356	0	0	15.885032537960955	100.55509590007124	IL1RN;IL6;TAX1BP1
Negative Regulation of Macromolecule Metabolic Process (GO:0010605)	3/11	0.0017817152046100192	0.07067065294544356	0	0	15.885032537960955	100.55509590007124	MTMR2;LDLR;OPTN
Acylglycerol Biosynthetic Process (GO:0046463)	4/23	0.0017840745091728405	0.07067065294544356	0	0	8.932265446224257	56.53101712230498	GK;GPAM;TMEM68;LPIN1
Positive Regulation of Carbohydrate Metabolic Process (GO:0045913)	5/39	0.0019762997506343866	0.07713381673799503	0	0	6.248237857234397	38.904834188825205	P2RX7;APP;PFKFB4;PRKAA1;MTOR
Steroid Biosynthetic Process (GO:0006694)	4/24	0.002102067330012795	0.07969838134077081	0	0	8.485217391304348	52.309956464567264	SQLE;CYP51A1;LSS;FDFT1
Phosphatidylinositol-mediated Signaling (GO:0048015)	4/24	0.002102067330012795	0.07969838134077081	0	0	8.485217391304348	52.309956464567264	PLCL1;PLCG2;PIK3C2A;PLCB1
Protein Localization to Organelle (GO:0033365)	11/171	0.0022144356878078773	0.08277622979495926	0	0	2.9406181015452537	17.975285873664085	PRKAA1;PIKFYVE;PITRM1;TOLLIP;MDM2;TAX1BP1;TULP3;ATP6V1D;WDR35;OPTN;MARCHF5
Ganglion Development (GO:0061548)	3/12	0.00233492698993311	0.08488898946962292	0	0	14.119305856832971	85.55981179218023	NRP1;NRP2;UNC5C
Phagosome-lysosome Fusion (GO:0090385)	3/12	0.00233492698993311	0.08488898946962292	0	0	14.119305856832971	85.55981179218023	PIKFYVE;VPS33B;VIPAS39
Regulation of G1/S Transition of Mitotic Cell Cycle (GO:2000045)	9/126	0.0027118878309605964	0.09656258159053417	0	0	3.283009298393914	19.40294697102417	PPP2CA;RRM1;CCND2;PSMB5;APC;FHL1;INO80;AMBRA1;PLCB1
Regulation of ERK1 and ERK2 Cascade (GO:0070372)	13/229	0.002785711992685441	0.09656258159053417	0	0	2.5782212367578223	15.168324694844438	APP;EPHA4;NRP1;TGFB1;FGG;FN1;CX3CL1;ERBB2;PTK2B;CCN1;PDE8A;CD44;EPHA2
Blood Vessel Endothelial Cell Migration (GO:0043534)	4/26	0.0028512962506298165	0.09656258159053417	0	0	7.71304347826087	45.19829257969909	EFNB2;NRP1;EHD4;SLIT2
Mitochondrial Gene Expression (GO:0140053)	8/104	0.002918146930116812	0.09656258159053417	0	0	3.5526315789473686	20.736023010848367	MRPS34;MRPL27;FASTKD5;MRPS31;IARS2;POLRMT;QRSL1;DAP3
Acetyl-CoA Biosynthetic Process (GO:0006085)	3/13	0.00298347087054401	0.09656258159053417	0	0	12.706724511930586	73.88538357290963	ACSS2;PDHA1;MLYCD
Carnitine Metabolic Process (GO:0009437)	3/13	0.00298347087054401	0.09656258159053417	0	0	12.706724511930586	73.88538357290963	TMLHE;CPT2;CRAT
Regulation of Interleukin-1-Mediated Signaling Pathway (GO:2000659)	3/13	0.00298347087054401	0.09656258159053417	0	0	12.706724511930586	73.88538357290963	IL1RN;IL6;TAX1BP1
Negative Regulation of Amyloid Fibril Formation (GO:1905907)	3/13	0.00298347087054401	0.09656258159053417	0	0	12.706724511930586	73.88538357290963	HSPG2;CRYAB;LDLR
Protein Hexamerization (GO:0034214)	3/13	0.00298347087054401	0.09656258159053417	0	0	12.706724511930586	73.88538357290963	LRRC8C;LRRC8D;YME1L1
Establishment of Protein Localization to Plasma Membrane (GO:0061951)	5/43	0.0030631888162383544	0.09668021676344356	0	0	5.5893819516110534	32.353012892516034	MACF1;AFDN;PREPL;KIF13A;OPTN
Negative Regulation of Organelle Organization (GO:0010639)	5/43	0.0030631888162383544	0.09668021676344356	0	0	5.5893819516110534	32.353012892516034	TFRC;ADCK1;HGF;HUWE1;MTOR
Positive Regulation of Protein-Containing Complex Assembly (GO:0031334)	8/105	0.0030963897606980794	0.09668021676344356	0	0	3.5158256465907036	20.312747503174503	PPP2CA;P2RX7;TGFB1;TFRC;PLCG2;TP53;MPP7;MARCHF5
Cellular Response to Low-Density Lipoprotein Particle Stimulus (GO:0071404)	4/27	0.0032866259770981316	0.1014268063164935	0	0	7.3773156899810965	42.18270749171654	APP;TGFB1;CDH13;LDLR
Fatty Acid Catabolic Process (GO:0009062)	6/64	0.0036341416485733023	0.10980831163708335	0	0	4.399488028911309	24.713606319377956	MCEE;CPT2;PCCA;ECI1;ECHDC2;LPIN1
Regulation of Macrophage Cytokine Production (GO:0010935)	3/14	0.003732254166986266	0.10980831163708335	0	0	11.550976138828634	64.57853776172392	TGFB1;TGFB3;PLCG2
Glycosaminoglycan Catabolic Process (GO:0006027)	3/14	0.003732254166986266	0.10980831163708335	0	0	11.550976138828634	64.57853776172392	TGFB1;GUSB;CD44
Ephrin Receptor Signaling Pathway (GO:0048013)	5/45	0.003743712658322951	0.10980831163708335	0	0	5.309368191721133	29.667037027760525	EFNB2;EFNB1;EPHA4;ARHGEF28;EPHA2
TRNA Aminoacylation (GO:0043039)	4/28	0.003765092825536769	0.10980831163708335	0	0	7.069565217391304	39.46219118663507	DARS2;IARS2;QRSL1;YARS2
Regulation of Microtubule-Based Process (GO:0032886)	5/46	0.004121717946698593	0.11730435578353615	0	0	5.179605717625804	28.44372827058738	MACF1;CYLD;PRKAA1;APC;ERBB2
Regulation of Anatomical Structure Morphogenesis (GO:0022603)	8/111	0.004350478104459597	0.11730435578353615	0	0	3.3099982967126556	17.998014885540236	EPHA4;IL6;TGFB1;ERBB2;MYO19;LZTS3;EPHA2;MARCHF5
Protein Localization to Plasma Membrane (GO:0072659)	10/161	0.004432838425931885	0.11730435578353615	0	0	2.827697873209441	15.32248936711626	MACF1;PREPL;EHD3;PRKAA1;EHD4;DENND4C;KIF13A;MAP7;OPTN;EPHA2
Negative Regulation of Neuroinflammatory Response (GO:0150079)	3/15	0.004585685303030282	0.11730435578353615	0	0	10.587852494577007	57.013634534071095	GRN;LDLR;CX3CL1
Phagolysosome Assembly (GO:0001845)	3/15	0.004585685303030282	0.11730435578353615	0	0	10.587852494577007	57.013634534071095	PIKFYVE;VPS33B;VIPAS39
Positive Regulation of Cell Differentiation (GO:0045597)	15/302	0.004852362740289878	0.11730435578353615	0	0	2.2406354034905287	11.938754160319982	APP;TGFB1;CSF1;TGFB3;LAMB2;TGFB1I1;HGF;MTOR;MAPK9;IL6;GPC1;DMD;CCN1;APOB;PLCB1
Regulation of Calcium Ion Transmembrane Transport (GO:1903169)	4/30	0.004859132481046443	0.11730435578353615	0	0	6.525083612040134	34.75843760905464	APP;PTK2B;DMD;SPG7
Positive Regulation of NLRP3 Inflammasome Complex Assembly (GO:1900227)	4/30	0.004859132481046443	0.11730435578353615	0	0	6.525083612040134	34.75843760905464	PPP2CA;P2RX7;PLCG2;MARCHF5
Positive Regulation of Cell-Matrix Adhesion (GO:0001954)	5/48	0.004958139340281318	0.11730435578353615	0	0	4.9381871611693775	26.2055999869924	NRP1;CSF1;PTK2B;CDH13;CX3CL1
Positive Regulation of Gene Expression (GO:0010628)	19/424	0.005037955327374134	0.11730435578353615	0	0	2.016862255513941	10.670723998587837	APP;CALCOCO1;TGFB1;TFRC;CSF1;FN1;SAMD4A;MTOR;P2RX7;AFDN;MAPK9;IL6;HMGN5;ERBB2;PLCG2;HABP4;CD14;TP53;TLR2
Regulation of Astrocyte Activation (GO:0061888)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	IL6;LDLR
Chondroitin Sulfate Proteoglycan Catabolic Process (GO:0030207)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	GUSB;ARSB
Regulation of Primary miRNA Processing (GO:2000634)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	IL6;TGFB1
Regulation of Skeletal Muscle Contraction by Calcium Ion Signaling (GO:0014722)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	DMPK;DMD
Salivary Gland Development (GO:0007431)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	TGFB1;TGFB3
Salivary Gland Morphogenesis (GO:0007435)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	TGFB1;TGFB3
Short-chain Fatty Acid Catabolic Process (GO:0019626)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	MCEE;PCCA
Sphingomyelin Catabolic Process (GO:0006685)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	SMPD2;SMPDL3A
TRNA Thio-Modification (GO:0034227)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	MPST;CTU1
[4Fe-4S] Cluster Assembly (GO:0044572)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	NFS1;ISCU
Negative Regulation of Macrophage Cytokine Production (GO:0010936)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	TGFB1;TGFB3
Negative Regulation of Receptor Recycling (GO:0001920)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	LDLR;OPTN
Neural Crest Cell Migration Involved in Autonomic Nervous System Development (GO:1901166)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	NRP1;FN1
Positive Regulation of Ceramide Biosynthetic Process (GO:2000304)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	SPHK2;PLA2G6
Positive Regulation of Sphingolipid Biosynthetic Process (GO:0090154)	2/5	0.005127093169137224	0.11730435578353615	0	0	28.186147186147185	148.63165399204522	SPHK2;PLA2G6
Extracellular Matrix Organization (GO:0030198)	11/192	0.005344914607494458	0.11820914542291068	0	0	2.5966241020574925	13.58452386756864	APP;CCDC80;TGFB1;COL4A1;COL14A1;LOXL4;ADAM10;TGFBI;NID2;GPM6B;CTSS
Regulation of Glycolytic Process (GO:0006110)	5/49	0.005418505253721972	0.11820914542291068	0	0	4.825708061002179	25.18023236666992	P2RX7;APP;PFKFB4;PRKAA1;MTOR
Positive Regulation of Epithelial to Mesenchymal Transition (GO:0010718)	5/49	0.005418505253721972	0.11820914542291068	0	0	4.825708061002179	25.18023236666992	IL6;TGFB1;TGFB3;TGFB1I1;MTOR
Cell-substrate Junction Assembly (GO:0007044)	4/31	0.005478419324422763	0.11820914542291068	0	0	6.283091787439614	32.71567355797477	DST;DLC1;TRIP6;FN1
Regulation of Ferroptosis (GO:0110075)	4/31	0.005478419324422763	0.11820914542291068	0	0	6.283091787439614	32.71567355797477	PRKAA1;GPX4;SC5D;PCK2
Golgi to Plasma Membrane Protein Transport (GO:0043001)	4/31	0.005478419324422763	0.11820914542291068	0	0	6.283091787439614	32.71567355797477	MACF1;PREPL;KIF13A;OPTN
Positive Regulation of Inflammasome-Mediated Signaling Pathway (GO:0141087)	4/31	0.005478419324422763	0.11820914542291068	0	0	6.283091787439614	32.71567355797477	PPP2CA;P2RX7;PLCG2;MARCHF5
Negative Regulation of Macrophage Activation (GO:0043031)	3/16	0.0055476992689054505	0.11825353581702637	0	0	9.772901718671784	50.76408688315936	GRN;LDLR;CX3CL1
Regulation of Cell Cycle G1/S Phase Transition (GO:1902806)	7/92	0.005569590044132742	0.11825353581702637	0	0	3.505135796112756	18.193175409440332	PPP2CA;PSMB5;APC;SUSD2;PLCG2;AMBRA1;INO80
Regulation of Cell Adhesion (GO:0030155)	9/142	0.005959926342667823	0.12553686121778096	0	0	2.885681236057176	14.782471062786836	EPHA4;PLAU;LAMB2;ERBB2;ADAM10;CDH13;PTK2B;TGFBI;RND1
Fatty Acid Beta-Oxidation (GO:0006635)	5/51	0.006428354324369748	0.12801559339358468	0	0	4.6154210476461115	23.2941994623556	CPT2;ECI1;ECHDC2;ACOX3;CRAT
Branched-chain Amino Acid Metabolic Process (GO:0009081)	3/17	0.006621782061862328	0.12801559339358468	0	0	9.074372482181593	45.52967256889408	BCKDK;PCCA;HIBCH
Cellular Response to Gamma Radiation (GO:0071480)	3/17	0.006621782061862328	0.12801559339358468	0	0	9.074372482181593	45.52967256889408	MDM2;CRYAB;TP53
Hyaluronan Metabolic Process (GO:0030212)	3/17	0.006621782061862328	0.12801559339358468	0	0	9.074372482181593	45.52967256889408	TGFB1;GUSB;CD44
Synaptic Signaling (GO:0099536)	3/17	0.006621782061862328	0.12801559339358468	0	0	9.074372482181593	45.52967256889408	DTNA;DMD;SNTA1
Unsaturated Fatty Acid Biosynthetic Process (GO:0006636)	3/17	0.006621782061862328	0.12801559339358468	0	0	9.074372482181593	45.52967256889408	FADS2;DEGS1;FADS1
Proteoglycan Catabolic Process (GO:0030167)	3/17	0.006621782061862328	0.12801559339358468	0	0	9.074372482181593	45.52967256889408	GPC1;GUSB;ARSB
Positive Regulation of Macromolecule Biosynthetic Process (GO:0010557)	16/344	0.006854494663677001	0.12801559339358468	0	0	2.091463414634146	10.42144991161365	APP;CALCOCO1;TGFB1;TFRC;CSF1;HGF;FN1;P2RX7;AFDN;MAPK9;IL6;HMGN5;PLCG2;PLCB1;TP53;TLR2
